id,sequence,event_type,event,context,recorded_at
00000000-0000-0000-0000-000000000001,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""00000000-0000-0000-0000-000000000001"", ""code"": ""Income"", ""name"": ""Income"", ""config"": {""is_account_set"": false, ""eventually_consistent"": false}, ""status"": ""active"", ""version"": 1, ""metadata"": null, ""description"": null, ""external_id"": null, ""normal_balance_type"": ""credit""}}",,2026-09-06 15:30:42.429188+00
01a07756-fce9-7ef1-b45c-3344e41f13bf,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07756-fce9-7ef1-b45c-3344e41f13bf"", ""code"": ""01a07756-fce9-7ef1-b45c-3344e41f13bf"", ""name"": """", ""config"": {""is_account_set"": true, ""eventually_consistent"": false}, ""status"": ""active"", ""version"": 1, ""metadata"": null, ""description"": null, ""external_id"": null, ""normal_balance_type"": ""credit""}}",,2026-09-06 15:29:44.682003+00
01a07756-fd02-79b2-a4b8-0e7b76b67e03,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07756-fd02-79b2-a4b8-0e7b76b67e03"", ""code"": ""01a07756-fd02-79b2-a4b8-0e7b76b67e03"", ""name"": """", ""config"": {""is_account_set"": true, ""eventually_consistent"": false}, ""status"": ""active"", ""version"": 1, ""metadata"": null, ""description"": null, ""external_id"": null, ""normal_balance_type"": ""credit""}}",,2026-09-06 15:29:44.708366+00
01a07756-fd02-79b2-a4b8-0e82d3431d89,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07756-fd02-79b2-a4b8-0e82d3431d89"", ""code"": ""01a07756-fd02-79b2-a4b8-0e82d3431d89"", ""name"": """", ""config"": {""is_account_set"": true, ""eventually_consistent"": false}, ""status"": ""active"", ""version"": 1, ""metadata"": null, ""description"": null, ""external_id"": null, ""normal_balance_type"": ""credit""}}",,2026-09-06 15:29:44.881102+00
01a07756-fd02-79b2-a4b8-0e9e1b833158,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07756-fd02-79b2-a4b8-0e9e1b833158"", ""code"": ""01a07756-fd02-79b2-a4b8-0e9e1b833158"", ""name"": """", ""config"": {""is_account_set"": true, ""eventually_consistent"": false}, ""status"": ""active"", ""version"": 1, ""metadata"": null, ""description"": null, ""external_id"": null, ""normal_balance_type"": ""credit""}}",,2026-09-06 15:29:45.487805+00
01a07756-fd02-79b2-a4b8-0ea5f8ac2e14,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07756-fd02-79b2-a4b8-0ea5f8ac2e14"", ""code"": ""01a07756-fd02-79b2-a4b8-0ea5f8ac2e14"", ""name"": """", ""config"": {""is_account_set"": true, ""eventually_consistent"": false}, ""status"": ""active"", ""version"": 1, ""metadata"": null, ""description"": null, ""external_id"": null, ""normal_balance_type"": ""credit""}}",,2026-09-06 15:29:45.48854+00
01a07756-fd02-79b2-a4b8-0ebbd23e6b48,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07756-fd02-79b2-a4b8-0ebbd23e6b48"", ""code"": ""01a07756-fd02-79b2-a4b8-0ebbd23e6b48"", ""name"": """", ""config"": {""is_account_set"": true, ""eventually_consistent"": false}, ""status"": ""active"", ""version"": 1, ""metadata"": null, ""description"": null, ""external_id"": null, ""normal_balance_type"": ""credit""}}",,2026-09-06 15:29:45.76008+00
01a07756-fd0f-7101-9851-6fb0e31f30bd,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07756-fd0f-7101-9851-6fb0e31f30bd"", ""code"": ""01a07756-fd0f-7101-9851-6fb0e31f30bd"", ""name"": """", ""config"": {""is_account_set"": true, ""eventually_consistent"": false}, ""status"": ""active"", ""version"": 1, ""metadata"": null, ""description"": null, ""external_id"": null, ""normal_balance_type"": ""credit""}}",,2026-09-06 15:29:44.721389+00
01a07756-fd13-7703-b040-8f8eb8551d9d,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07756-fd13-7703-b040-8f8eb8551d9d"", ""code"": ""01a07756-fd13-7703-b040-8f8eb8551d9d"", ""name"": """", ""config"": {""is_account_set"": true, ""eventually_consistent"": false}, ""status"": ""active"", ""version"": 1, ""metadata"": null, ""description"": null, ""external_id"": null, ""normal_balance_type"": ""credit""}}",,2026-09-06 15:29:44.723932+00
01a07756-fd19-7703-974e-ba91847e3849,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07756-fd19-7703-974e-ba91847e3849"", ""code"": ""01a07756-fd19-7703-974e-ba91847e3849"", ""name"": """", ""config"": {""is_account_set"": true, ""eventually_consistent"": false}, ""status"": ""active"", ""version"": 1, ""metadata"": null, ""description"": null, ""external_id"": null, ""normal_balance_type"": ""credit""}}",,2026-09-06 15:29:44.732182+00
