id,sequence,event_type,event,context,recorded_at
01a07756-fce9-7ef1-b45c-3344e41f13bf,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07756-fce9-7ef1-b45c-3344e41f13bf"", ""name"": ""batch-committed-root"", ""version"": 1, ""metadata"": null, ""journal_id"": ""01a07756-fcdd-7a23-8c53-5b4167184fda"", ""description"": null, ""external_id"": null, ""normal_balance_type"": ""credit""}}",,2026-09-06 15:29:44.682003+00
01a07756-fd02-79b2-a4b8-0e7b76b67e03,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07756-fd02-79b2-a4b8-0e7b76b67e03"", ""name"": ""diff-batch-0"", ""version"": 1, ""metadata"": null, ""journal_id"": ""01a07756-fcf3-7072-966e-670ee46251dc"", ""description"": null, ""external_id"": null, ""normal_balance_type"": ""credit""}}",,2026-09-06 15:29:44.708366+00
01a07756-fd02-79b2-a4b8-0e82d3431d89,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07756-fd02-79b2-a4b8-0e82d3431d89"", ""name"": ""diff-batch-1"", ""version"": 1, ""metadata"": null, ""journal_id"": ""01a07756-fcf3-7072-966e-670ee46251dc"", ""description"": null, ""external_id"": null, ""normal_balance_type"": ""credit""}}",,2026-09-06 15:29:44.881102+00
01a07756-fd02-79b2-a4b8-0e9e1b833158,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07756-fd02-79b2-a4b8-0e9e1b833158"", ""name"": ""diff-batch-2"", ""version"": 1, ""metadata"": null, ""journal_id"": ""01a07756-fcf3-7072-966e-670ee46251dc"", ""description"": null, ""external_id"": null, ""normal_balance_type"": ""credit""}}",,2026-09-06 15:29:45.487805+00
01a07756-fd02-79b2-a4b8-0ea5f8ac2e14,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07756-fd02-79b2-a4b8-0ea5f8ac2e14"", ""name"": ""diff-batch-3"", ""version"": 1, ""metadata"": null, ""journal_id"": ""01a07756-fcf3-7072-966e-670ee46251dc"", ""description"": null, ""external_id"": null, ""normal_balance_type"": ""credit""}}",,2026-09-06 15:29:45.48854+00
01a07756-fd02-79b2-a4b8-0ebbd23e6b48,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07756-fd02-79b2-a4b8-0ebbd23e6b48"", ""name"": ""diff-batch-4"", ""version"": 1, ""metadata"": null, ""journal_id"": ""01a07756-fcf3-7072-966e-670ee46251dc"", ""description"": null, ""external_id"": null, ""normal_balance_type"": ""credit""}}",,2026-09-06 15:29:45.76008+00
01a07756-fd0f-7101-9851-6fb0e31f30bd,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07756-fd0f-7101-9851-6fb0e31f30bd"", ""name"": ""batch-committed-branch"", ""version"": 1, ""metadata"": null, ""journal_id"": ""01a07756-fcdd-7a23-8c53-5b4167184fda"", ""description"": null, ""external_id"": null, ""normal_balance_type"": ""credit""}}",,2026-09-06 15:29:44.721389+00
01a07756-fd13-7703-b040-8f8eb8551d9d,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07756-fd13-7703-b040-8f8eb8551d9d"", ""name"": ""batch-account-root"", ""version"": 1, ""metadata"": null, ""journal_id"": ""01a07756-fd01-71c1-92da-b5887157c341"", ""description"": null, ""external_id"": null, ""normal_balance_type"": ""credit""}}",,2026-09-06 15:29:44.723932+00
01a07756-fd19-7703-974e-ba91847e3849,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07756-fd19-7703-974e-ba91847e3849"", ""name"": ""batch-existing-depth-0"", ""version"": 1, ""metadata"": null, ""journal_id"": ""01a07756-fd01-71c1-92da-b590a1fc87ce"", ""description"": null, ""external_id"": null, ""normal_balance_type"": ""credit""}}",,2026-09-06 15:29:44.732182+00
01a07756-fd3f-7312-bac2-07a2f16a2d3c,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07756-fd3f-7312-bac2-07a2f16a2d3c"", ""name"": ""batch-committed-leaf"", ""version"": 1, ""metadata"": null, ""journal_id"": ""01a07756-fcdd-7a23-8c53-5b4167184fda"", ""description"": null, ""external_id"": null, ""normal_balance_type"": ""credit""}}",,2026-09-06 15:29:44.948337+00
01a07756-fe07-7352-8cdd-10bae904518f,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07756-fe07-7352-8cdd-10bae904518f"", ""name"": ""batch-existing-depth-1"", ""version"": 1, ""metadata"": null, ""journal_id"": ""01a07756-fd01-71c1-92da-b590a1fc87ce"", ""description"": null, ""external_id"": null, ""normal_balance_type"": ""credit""}}",,2026-09-06 15:29:45.348398+00
