id,code,name,external_id,normal_balance_type,eventually_consistent,is_account_set,velocity_context_values,status,created_at
00000000-0000-0000-0000-000000000001,Income,Income,,credit,f,f,"{""id"": ""00000000-0000-0000-0000-000000000001"", ""name"": ""Income"", ""metadata"": null, ""external_id"": null, ""normal_balance_type"": ""credit""}",active,2026-09-06 15:30:42.429188+00
01a07756-fce9-7ef1-b45c-3344e41f13bf,01a07756-fce9-7ef1-b45c-3344e41f13bf,"",,credit,f,t,"{""id"": ""01a07756-fce9-7ef1-b45c-3344e41f13bf"", ""name"": ""batch-committed-root"", ""metadata"": null, ""external_id"": null, ""normal_balance_type"": ""credit""}",active,2026-09-06 15:29:44.682003+00
01a07756-fd02-79b2-a4b8-0e7b76b67e03,01a07756-fd02-79b2-a4b8-0e7b76b67e03,"",,credit,f,t,"{""id"": ""01a07756-fd02-79b2-a4b8-0e7b76b67e03"", ""name"": ""diff-batch-0"", ""metadata"": null, ""external_id"": null, ""normal_balance_type"": ""credit""}",active,2026-09-06 15:29:44.708366+00
01a07756-fd02-79b2-a4b8-0e82d3431d89,01a07756-fd02-79b2-a4b8-0e82d3431d89,"",,credit,f,t,"{""id"": ""01a07756-fd02-79b2-a4b8-0e82d3431d89"", ""name"": ""diff-batch-1"", ""metadata"": null, ""external_id"": null, ""normal_balance_type"": ""credit""}",active,2026-09-06 15:29:44.881102+00
01a07756-fd02-79b2-a4b8-0e9e1b833158,01a07756-fd02-79b2-a4b8-0e9e1b833158,"",,credit,f,t,"{""id"": ""01a07756-fd02-79b2-a4b8-0e9e1b833158"", ""name"": ""diff-batch-2"", ""metadata"": null, ""external_id"": null, ""normal_balance_type"": ""credit""}",active,2026-09-06 15:29:45.487805+00
01a07756-fd02-79b2-a4b8-0ea5f8ac2e14,01a07756-fd02-79b2-a4b8-0ea5f8ac2e14,"",,credit,f,t,"{""id"": ""01a07756-fd02-79b2-a4b8-0ea5f8ac2e14"", ""name"": ""diff-batch-3"", ""metadata"": null, ""external_id"": null, ""normal_balance_type"": ""credit""}",active,2026-09-06 15:29:45.48854+00
01a07756-fd02-79b2-a4b8-0ebbd23e6b48,01a07756-fd02-79b2-a4b8-0ebbd23e6b48,"",,credit,f,t,"{""id"": ""01a07756-fd02-79b2-a4b8-0ebbd23e6b48"", ""name"": ""diff-batch-4"", ""metadata"": null, ""external_id"": null, ""normal_balance_type"": ""credit""}",active,2026-09-06 15:29:45.76008+00
01a07756-fd0f-7101-9851-6fb0e31f30bd,01a07756-fd0f-7101-9851-6fb0e31f30bd,"",,credit,f,t,"{""id"": ""01a07756-fd0f-7101-9851-6fb0e31f30bd"", ""name"": ""batch-committed-branch"", ""metadata"": null, ""external_id"": null, ""normal_balance_type"": ""credit""}",active,2026-09-06 15:29:44.721389+00
01a07756-fd13-7703-b040-8f8eb8551d9d,01a07756-fd13-7703-b040-8f8eb8551d9d,"",,credit,f,t,"{""id"": ""01a07756-fd13-7703-b040-8f8eb8551d9d"", ""name"": ""batch-account-root"", ""metadata"": null, ""external_id"": null, ""normal_balance_type"": ""credit""}",active,2026-09-06 15:29:44.723932+00
01a07756-fd19-7703-974e-ba91847e3849,01a07756-fd19-7703-974e-ba91847e3849,"",,credit,f,t,"{""id"": ""01a07756-fd19-7703-974e-ba91847e3849"", ""name"": ""batch-existing-depth-0"", ""metadata"": null, ""external_id"": null, ""normal_balance_type"": ""credit""}",active,2026-09-06 15:29:44.732182+00
01a07756-fd3f-7312-bac2-07a2f16a2d3c,01a07756-fd3f-7312-bac2-07a2f16a2d3c,"",,credit,f,t,"{""id"": ""01a07756-fd3f-7312-bac2-07a2f16a2d3c"", ""name"": ""batch-committed-leaf"", ""metadata"": null, ""external_id"": null, ""normal_balance_type"": ""credit""}",active,2026-09-06 15:29:44.948337+00
01a07756-fe06-7bc1-a12f-a5d7e53c712b,ChRax7fg224hBJhN2O1MFhJh0AF9dbwM,Test Sender Account ChRax7fg224hBJhN2O1MFhJh0AF9dbwM,,credit,f,f,"{""id"": ""01a07756-fe06-7bc1-a12f-a5d7e53c712b"", ""name"": ""Test Sender Account ChRax7fg224hBJhN2O1MFhJh0AF9dbwM"", ""metadata"": null, ""external_id"": null, ""normal_balance_type"": ""credit""}",active,2026-09-06 15:29:44.973812+00
01a07756-fe06-7bc1-a12f-a5e31f818282,WXv0Tx4rSoqrVVIGNaSSC0IqRdHk7piV,Test Recipient Account WXv0Tx4rSoqrVVIGNaSSC0IqRdHk7piV,,credit,f,f,"{""id"": ""01a07756-fe06-7bc1-a12f-a5e31f818282"", ""name"": ""Test Recipient Account WXv0Tx4rSoqrVVIGNaSSC0IqRdHk7piV"", ""metadata"": null, ""external_id"": null, ""normal_balance_type"": ""credit""}",active,2026-09-06 15:29:45.016462+00
01a07756-fe07-7352-8cdd-10bae904518f,01a07756-fe07-7352-8cdd-10bae904518f,"",,credit,f,t,"{""id"": ""01a07756-fe07-7352-8cdd-10bae904518f"", ""name"": ""batch-existing-depth-1"", ""metadata"": null, ""external_id"": null, ""normal_balance_type"": ""credit""}",active,2026-09-06 15:29:45.348398+00
01a07756-ff22-7672-8dea-b4e832d9a58b,01a07756-ff22-7672-8dea-b4e832d9a58b,"",,credit,f,t,"{""id"": ""01a07756-ff22-7672-8dea-b4e832d9a58b"", ""name"": ""Target"", ""metadata"": null, ""external_id"": null, ""normal_balance_type"": ""credit""}",active,2026-09-06 15:29:45.251595+00
