id,sequence,event_type,event,context,recorded_at
01a07756-feef-7e63-8f22-68177276211a,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07756-feef-7e63-8f22-68177276211a"", ""layer"": ""Settled"", ""units"": ""1290"", ""version"": 1, ""currency"": ""BTC"", ""metadata"": {""sender"": ""01a07756-fe06-7bc1-a12f-a5d7e53c712b""}, ""sequence"": 1, ""direction"": ""debit"", ""account_id"": ""01a07756-fe06-7bc1-a12f-a5d7e53c712b"", ""entry_type"": ""TEST_BTC_DR"", ""journal_id"": ""01a07756-fde8-77c2-85e0-e4094b6c94c7"", ""description"": null, ""transaction_id"": ""01a07756-fee3-7710-a2b5-5a0f151caeab""}}",,2026-09-06 15:29:45.191124+00
01a07756-fef0-7de0-aca5-8bc97659a484,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07756-fef0-7de0-aca5-8bc97659a484"", ""layer"": ""Settled"", ""units"": ""1290"", ""version"": 1, ""currency"": ""BTC"", ""metadata"": null, ""sequence"": 2, ""direction"": ""credit"", ""account_id"": ""01a07756-fe06-7bc1-a12f-a5e31f818282"", ""entry_type"": ""TEST_BTC_CR"", ""journal_id"": ""01a07756-fde8-77c2-85e0-e4094b6c94c7"", ""description"": null, ""transaction_id"": ""01a07756-fee3-7710-a2b5-5a0f151caeab""}}",,2026-09-06 15:29:45.191124+00
01a07756-fef0-7de0-aca5-8bdb786ee9e6,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07756-fef0-7de0-aca5-8bdb786ee9e6"", ""layer"": ""Settled"", ""units"": ""100"", ""version"": 1, ""currency"": ""USD"", ""metadata"": null, ""sequence"": 3, ""direction"": ""debit"", ""account_id"": ""01a07756-fe06-7bc1-a12f-a5d7e53c712b"", ""entry_type"": ""TEST_USD_DR"", ""journal_id"": ""01a07756-fde8-77c2-85e0-e4094b6c94c7"", ""description"": null, ""transaction_id"": ""01a07756-fee3-7710-a2b5-5a0f151caeab""}}",,2026-09-06 15:29:45.191124+00
01a07756-fef0-7de0-aca5-8bed3122e6a7,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07756-fef0-7de0-aca5-8bed3122e6a7"", ""layer"": ""Settled"", ""units"": ""100"", ""version"": 1, ""currency"": ""USD"", ""metadata"": null, ""sequence"": 4, ""direction"": ""credit"", ""account_id"": ""01a07756-fe06-7bc1-a12f-a5e31f818282"", ""entry_type"": ""TEST_USD_CR"", ""journal_id"": ""01a07756-fde8-77c2-85e0-e4094b6c94c7"", ""description"": null, ""transaction_id"": ""01a07756-fee3-7710-a2b5-5a0f151caeab""}}",,2026-09-06 15:29:45.191124+00
01a07756-fef1-7fe1-8694-eb09c61cecf1,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07756-fef1-7fe1-8694-eb09c61cecf1"", ""layer"": ""Pending"", ""units"": ""100"", ""version"": 1, ""currency"": ""USD"", ""metadata"": null, ""sequence"": 5, ""direction"": ""debit"", ""account_id"": ""01a07756-fe06-7bc1-a12f-a5d7e53c712b"", ""entry_type"": ""TEST_USD_PENDING_DR"", ""journal_id"": ""01a07756-fde8-77c2-85e0-e4094b6c94c7"", ""description"": null, ""transaction_id"": ""01a07756-fee3-7710-a2b5-5a0f151caeab""}}",,2026-09-06 15:29:45.191124+00
01a07756-fef1-7fe1-8694-eb18acdeacc1,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07756-fef1-7fe1-8694-eb18acdeacc1"", ""layer"": ""Pending"", ""units"": ""100"", ""version"": 1, ""currency"": ""USD"", ""metadata"": null, ""sequence"": 6, ""direction"": ""credit"", ""account_id"": ""01a07756-fe06-7bc1-a12f-a5e31f818282"", ""entry_type"": ""TEST_USD_PENDING_CR"", ""journal_id"": ""01a07756-fde8-77c2-85e0-e4094b6c94c7"", ""description"": null, ""transaction_id"": ""01a07756-fee3-7710-a2b5-5a0f151caeab""}}",,2026-09-06 15:29:45.191124+00
01a07757-0d05-7800-8867-ac930d86bcd1,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07757-0d05-7800-8867-ac930d86bcd1"", ""layer"": ""Settled"", ""units"": ""1290"", ""version"": 1, ""currency"": ""BTC"", ""metadata"": {""sender"": ""01a07757-076a-7012-8b97-bb680895f24f""}, ""sequence"": 1, ""direction"": ""debit"", ""account_id"": ""01a07757-076a-7012-8b97-bb680895f24f"", ""entry_type"": ""TEST_BTC_DR"", ""journal_id"": ""01a07757-074f-7882-bc35-1710e26d5cc9"", ""description"": null, ""transaction_id"": ""01a07757-0cfb-7e12-ac82-34b46b927c1f""}}",,2026-09-06 15:29:48.795824+00
01a07757-0d09-7d51-bac0-769540dbdf05,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07757-0d09-7d51-bac0-769540dbdf05"", ""layer"": ""Settled"", ""units"": ""1290"", ""version"": 1, ""currency"": ""BTC"", ""metadata"": null, ""sequence"": 2, ""direction"": ""credit"", ""account_id"": ""01a07757-076a-7012-8b97-bb77c1312dcd"", ""entry_type"": ""TEST_BTC_CR"", ""journal_id"": ""01a07757-074f-7882-bc35-1710e26d5cc9"", ""description"": null, ""transaction_id"": ""01a07757-0cfb-7e12-ac82-34b46b927c1f""}}",,2026-09-06 15:29:48.795824+00
01a07757-0d09-7d51-bac0-76a747a9625e,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07757-0d09-7d51-bac0-76a747a9625e"", ""layer"": ""Settled"", ""units"": ""100"", ""version"": 1, ""currency"": ""USD"", ""metadata"": null, ""sequence"": 3, ""direction"": ""debit"", ""account_id"": ""01a07757-076a-7012-8b97-bb680895f24f"", ""entry_type"": ""TEST_USD_DR"", ""journal_id"": ""01a07757-074f-7882-bc35-1710e26d5cc9"", ""description"": null, ""transaction_id"": ""01a07757-0cfb-7e12-ac82-34b46b927c1f""}}",,2026-09-06 15:29:48.795824+00
01a07757-0d0d-7ed3-9709-f9dee857237d,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07757-0d0d-7ed3-9709-f9dee857237d"", ""layer"": ""Settled"", ""units"": ""100"", ""version"": 1, ""currency"": ""USD"", ""metadata"": null, ""sequence"": 4, ""direction"": ""credit"", ""account_id"": ""01a07757-076a-7012-8b97-bb77c1312dcd"", ""entry_type"": ""TEST_USD_CR"", ""journal_id"": ""01a07757-074f-7882-bc35-1710e26d5cc9"", ""description"": null, ""transaction_id"": ""01a07757-0cfb-7e12-ac82-34b46b927c1f""}}",,2026-09-06 15:29:48.795824+00
