id,sequence,event_type,event,context,recorded_at
00000000-0000-0000-0000-000000000001,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""00000000-0000-0000-0000-000000000001"", ""code"": null, ""name"": ""Ledger"", ""config"": {""enable_effective_balances"": false}, ""status"": ""active"", ""version"": 1, ""description"": null}}",,2026-09-06 15:30:42.41947+00
01a07756-fcdd-7a23-8c53-5b4167184fda,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07756-fcdd-7a23-8c53-5b4167184fda"", ""code"": null, ""name"": ""NwoOvKYJJvvdJ6a3Vb5aM0ByEMpO5jpP"", ""config"": {""enable_effective_balances"": false}, ""status"": ""active"", ""version"": 1, ""description"": null}}",,2026-09-06 15:29:44.672395+00
01a07756-fcf3-7072-966e-670ee46251dc,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07756-fcf3-7072-966e-670ee46251dc"", ""code"": null, ""name"": ""SjhSUTim5ixqWqgtfSSlsm4C7ZIZhONH"", ""config"": {""enable_effective_balances"": false}, ""status"": ""active"", ""version"": 1, ""description"": null}}",,2026-09-06 15:29:44.693647+00
01a07756-fd01-71c1-92da-b5887157c341,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07756-fd01-71c1-92da-b5887157c341"", ""code"": null, ""name"": ""QU8lQzkIp6TNszsMDyiqLFDIZYxgrB7e"", ""config"": {""enable_effective_balances"": false}, ""status"": ""active"", ""version"": 1, ""description"": null}}",,2026-09-06 15:29:44.706285+00
01a07756-fd01-71c1-92da-b590a1fc87ce,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07756-fd01-71c1-92da-b590a1fc87ce"", ""code"": null, ""name"": ""a0p5OvmTCabi3eGiApFUTkbUDwdD4cLt"", ""config"": {""enable_effective_balances"": false}, ""status"": ""active"", ""version"": 1, ""description"": null}}",,2026-09-06 15:29:44.706052+00
01a07756-fdc3-7623-81c5-962bc7edf3cb,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07756-fdc3-7623-81c5-962bc7edf3cb"", ""code"": null, ""name"": ""32oiLdnXppwNTIojKmBRRw4I3iGe0mW2"", ""config"": {""enable_effective_balances"": false}, ""status"": ""active"", ""version"": 1, ""description"": null}}",,2026-09-06 15:29:45.154853+00
01a07756-fde8-77c2-85e0-e4094b6c94c7,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07756-fde8-77c2-85e0-e4094b6c94c7"", ""code"": null, ""name"": ""EZhUAcHMUw48lszxepeuPd1MOl1RGRzt"", ""config"": {""enable_effective_balances"": false}, ""status"": ""active"", ""version"": 1, ""description"": null}}",,2026-09-06 15:29:44.93723+00
01a07756-fdfa-72e2-91f8-50228c9fc892,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07756-fdfa-72e2-91f8-50228c9fc892"", ""code"": null, ""name"": ""KiLVCuQbwEdMqxKANK50UpgY7tELfYq7"", ""config"": {""enable_effective_balances"": false}, ""status"": ""active"", ""version"": 1, ""description"": null}}",,2026-09-06 15:29:45.345139+00
01a07757-0638-79e1-a089-baceb9440dfe,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07757-0638-79e1-a089-baceb9440dfe"", ""code"": null, ""name"": ""7CbiL7TCD2k2VDHAAoBlCkRGML1707vI"", ""config"": {""enable_effective_balances"": false}, ""status"": ""active"", ""version"": 1, ""description"": null}}",,2026-09-06 15:29:47.419173+00
01a07757-064b-7c73-8c77-f948cd74cf51,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07757-064b-7c73-8c77-f948cd74cf51"", ""code"": null, ""name"": ""2Pa7DLWQAkwn6SvVhAGsySh0WTk6ZRRU"", ""config"": {""enable_effective_balances"": false}, ""status"": ""active"", ""version"": 1, ""description"": null}}",,2026-09-06 15:29:47.086215+00
01a07757-074f-7882-bc35-1710e26d5cc9,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07757-074f-7882-bc35-1710e26d5cc9"", ""code"": null, ""name"": ""7oVEQ6PZSE9xMYABC4NoWCb658BNsOJn"", ""config"": {""enable_effective_balances"": false}, ""status"": ""active"", ""version"": 1, ""description"": null}}",,2026-09-06 15:29:47.347274+00
