id,sequence,payload,tracing_context,recorded_at
000a8546-500f-458d-a0a6-bd3fd3f972de,4883,"{""type"": ""entry_created"", ""entry"": {""id"": ""01a07757-a80b-7240-b041-d59481ef53bd"", ""layer"": ""Settled"", ""units"": ""100"", ""version"": 1, ""currency"": ""USD"", ""metadata"": null, ""sequence"": 4, ""direction"": ""credit"", ""account_id"": ""01a07757-932f-7192-b2a8-8a6202201644"", ""entry_type"": ""TEST_USD_CR"", ""journal_id"": ""01a07757-90f6-7ca2-9931-c03ede6acaf9"", ""description"": null, ""transaction_id"": ""01a07757-a785-7bd1-a8ec-ac2868881a64""}}",,2026-09-06 15:30:28.390981+00
000c9785-9d30-4245-bd0a-dd50bd88e057,2999,"{""type"": ""entry_created"", ""entry"": {""id"": ""01a07757-a260-7b42-8d3e-cd22bb1c1af6"", ""layer"": ""Settled"", ""units"": ""100"", ""version"": 1, ""currency"": ""USD"", ""metadata"": null, ""sequence"": 3, ""direction"": ""debit"", ""account_id"": ""01a07757-9311-7b62-92b5-03c639793bfe"", ""entry_type"": ""TEST_USD_DR"", ""journal_id"": ""01a07757-90f6-7ca2-9931-c03ede6acaf9"", ""description"": null, ""transaction_id"": ""01a07757-a223-7961-ab24-deb540a1dd3d""}}",,2026-09-06 15:30:27.026135+00
001b81b9-6a71-4429-b194-e3e39df09014,3156,"{""type"": ""entry_created"", ""entry"": {""id"": ""01a07757-a296-7c20-bbd6-b8c9318d47a3"", ""layer"": ""Pending"", ""units"": ""100"", ""version"": 1, ""currency"": ""USD"", ""metadata"": null, ""sequence"": 6, ""direction"": ""credit"", ""account_id"": ""01a07757-9312-7c83-afc2-1ce8d76a92ae"", ""entry_type"": ""TEST_USD_PENDING_CR"", ""journal_id"": ""01a07757-90f6-7ca2-9931-c03ede6acaf9"", ""description"": null, ""transaction_id"": ""01a07757-a223-7961-ab24-e01d854d57a5""}}",,2026-09-06 15:30:27.026135+00
0026c586-451c-4448-8c4e-71397f14af16,1662,"{""type"": ""entry_created"", ""entry"": {""id"": ""01a07757-9c1e-7fb0-aaaa-dcca871d3c5b"", ""layer"": ""Pending"", ""units"": ""100"", ""version"": 1, ""currency"": ""USD"", ""metadata"": null, ""sequence"": 5, ""direction"": ""debit"", ""account_id"": ""01a07757-9abb-7a51-835e-7da2372de51e"", ""entry_type"": ""TEST_USD_PENDING_DR"", ""journal_id"": ""01a07757-9506-7103-9ec6-09cbefd8da74"", ""description"": null, ""transaction_id"": ""01a07757-9c16-7053-ac2a-14ebeaef77dc""}}",,2026-09-06 15:30:25.43329+00
00276db7-3eac-4236-8b4a-ecf8633a060e,2416,"{""type"": ""entry_created"", ""entry"": {""id"": ""01a07757-9ee8-7210-9099-4c4021a28fd5"", ""layer"": ""Settled"", ""units"": ""100"", ""version"": 1, ""currency"": ""USD"", ""metadata"": null, ""sequence"": 4, ""direction"": ""credit"", ""account_id"": ""01a07757-9310-7272-93cd-3ae765fb99a5"", ""entry_type"": ""TEST_USD_CR"", ""journal_id"": ""01a07757-90f6-7ca2-9931-c03ede6acaf9"", ""description"": null, ""transaction_id"": ""01a07757-9e1b-7fe3-9b11-9eeb879665fc""}}",,2026-09-06 15:30:25.94797+00
00388399-ace9-42f5-9ba6-4e841d5d1938,4055,"{""type"": ""entry_created"", ""entry"": {""id"": ""01a07757-a5c0-7ac3-99eb-b9dac2d9547f"", ""layer"": ""Settled"", ""units"": ""1290"", ""version"": 1, ""currency"": ""BTC"", ""metadata"": null, ""sequence"": 2, ""direction"": ""credit"", ""account_id"": ""01a07757-931f-7852-a7a0-a4557db13905"", ""entry_type"": ""TEST_BTC_CR"", ""journal_id"": ""01a07757-90f6-7ca2-9931-c03ede6acaf9"", ""description"": null, ""transaction_id"": ""01a07757-a537-74a3-a019-0edc8f687974""}}",,2026-09-06 15:30:27.812062+00
003e7c17-40da-4f1b-aae0-1eb2f255c8bb,3132,"{""type"": ""entry_created"", ""entry"": {""id"": ""01a07757-a28e-7262-9b6a-ba9e18338743"", ""layer"": ""Settled"", ""units"": ""100"", ""version"": 1, ""currency"": ""USD"", ""metadata"": null, ""sequence"": 3, ""direction"": ""debit"", ""account_id"": ""01a07757-9312-7c83-afc2-1c09b72f509c"", ""entry_type"": ""TEST_USD_DR"", ""journal_id"": ""01a07757-90f6-7ca2-9931-c03ede6acaf9"", ""description"": null, ""transaction_id"": ""01a07757-a223-7961-ab24-dfe2adf5d1a0""}}",,2026-09-06 15:30:27.026135+00
00503fd5-a6c1-4c01-be62-eaea20e0af0b,4396,"{""type"": ""transaction_created"", ""transaction"": {""id"": ""01a07757-a785-7bd1-a8ec-a7d6b95cdd3b"", ""version"": 1, ""metadata"": {""foo"": ""bar""}, ""effective"": ""2026-09-06"", ""entry_ids"": [""01a07757-a7a7-7ef3-843a-8104ff32e32e"", ""01a07757-a7a7-7ef3-843a-8111b2076743"", ""01a07757-a7a8-7bf2-8435-24af637f64af"", ""01a07757-a7a8-7bf2-8435-24b188c2b53d"", ""01a07757-a7a8-7bf2-8435-24cb68be6d42"", ""01a07757-a7a8-7bf2-8435-24dbec4b0e3e""], ""created_at"": ""2026-09-06T15:30:28.390981Z"", ""journal_id"": ""01a07757-90f6-7ca2-9931-c03ede6acaf9"", ""description"": null, ""external_id"": null, ""modified_at"": ""2026-09-06T15:30:28.390981Z"", ""correlation_id"": ""01a07757-a785-7bd1-a8ec-a7d6b95cdd3b"", ""tx_template_id"": ""01a07757-920b-70c0-aaa2-cdc1b16ae111""}}",,2026-09-06 15:30:28.390981+00
005c1c0f-d455-40e0-847b-01a06f713c9f,1745,"{""type"": ""entry_created"", ""entry"": {""id"": ""01a07757-9f82-7dd1-b688-3f284981b7db"", ""layer"": ""Settled"", ""units"": ""100"", ""version"": 1, ""currency"": ""USD"", ""metadata"": null, ""sequence"": 4, ""direction"": ""credit"", ""account_id"": ""01a07757-9ee7-7431-ae4c-4a8b69d44c16"", ""entry_type"": ""TEST_USD_CR"", ""journal_id"": ""01a07757-9b49-78d2-ba3e-8cb7e6c2f25d"", ""description"": null, ""transaction_id"": ""01a07757-9f69-7811-a3c2-688248cd13b7""}}",,2026-09-06 15:30:26.286312+00
0062be57-31e5-4b60-9ecf-7447c26f35f2,76,"{""type"": ""account_set_member_created"", ""member_id"": {""id"": ""01a07756-fd02-79b2-a4b8-0e9e1b833158"", ""type"": ""AccountSet""}, ""account_set_id"": ""01a07756-fd02-79b2-a4b8-0e82d3431d89""}",,2026-09-06 15:29:46.665514+00
00792153-636b-4063-aa02-938eee8d3746,951,"{""type"": ""account_created"", ""account"": {""id"": ""01a07757-9310-7272-93cd-3ea0fcc01a51"", ""code"": ""LOCKCEIL-01a077579310727293cd3eb50d08c6e1-185"", ""name"": ""lock ceiling 185"", ""config"": {""is_account_set"": false, ""eventually_consistent"": false}, ""status"": ""active"", ""version"": 1, ""metadata"": null, ""description"": null, ""external_id"": null, ""normal_balance_type"": ""credit""}}",,2026-09-06 15:30:23.414343+00
00967ff4-c993-47e2-bc57-04a4241bb52f,3987,"{""type"": ""entry_created"", ""entry"": {""id"": ""01a07757-a5ad-79b3-b863-457b7d1fc709"", ""layer"": ""Settled"", ""units"": ""100"", ""version"": 1, ""currency"": ""USD"", ""metadata"": null, ""sequence"": 4, ""direction"": ""credit"", ""account_id"": ""01a07757-931f-7852-a7a0-a1d20593b8fd"", ""entry_type"": ""TEST_USD_CR"", ""journal_id"": ""01a07757-90f6-7ca2-9931-c03ede6acaf9"", ""description"": null, ""transaction_id"": ""01a07757-a537-74a3-a019-0e3afdd563b3""}}",,2026-09-06 15:30:27.812062+00
009826c7-6c35-44a2-a59c-b0d31a31b0d3,2118,"{""type"": ""transaction_created"", ""transaction"": {""id"": ""01a07757-9e1a-7242-a0e7-664dd6ce1c2e"", ""version"": 1, ""metadata"": {""foo"": ""bar""}, ""effective"": ""2026-09-06"", ""entry_ids"": [""01a07757-9e6d-7af0-9056-ffe104f3df1b"", ""01a07757-9e6e-7771-a24f-72b31f8faaa3"", ""01a07757-9e6e-7771-a24f-72c1b089e419"", ""01a07757-9e6f-7d82-9af7-8e7c34fefe09"", ""01a07757-9e6f-7d82-9af7-8e88833bcd50"", ""01a07757-9e6f-7d82-9af7-8e92ca851e7a""], ""created_at"": ""2026-09-06T15:30:25.947970Z"", ""journal_id"": ""01a07757-90f6-7ca2-9931-c03ede6acaf9"", ""description"": null, ""external_id"": null, ""modified_at"": ""2026-09-06T15:30:25.947970Z"", ""correlation_id"": ""01a07757-9e1a-7242-a0e7-664dd6ce1c2e"", ""tx_template_id"": ""01a07757-920b-70c0-aaa2-cdc1b16ae111""}}",,2026-09-06 15:30:25.94797+00
00b52d2d-59dc-4a6d-948c-36c2096b196e,1276,"{""type"": ""account_created"", ""account"": {""id"": ""01a07757-9320-7450-bf66-12149c56ffb9"", ""code"": ""LOCKCEIL-01a0775793207450bf661226143dde51-510"", ""name"": ""lock ceiling 510"", ""config"": {""is_account_set"": false, ""eventually_consistent"": false}, ""status"": ""active"", ""version"": 1, ""metadata"": null, ""description"": null, ""external_id"": null, ""normal_balance_type"": ""credit""}}",,2026-09-06 15:30:23.414343+00
