id,sequence,event_type,event,context,recorded_at
01a07756-fee3-7710-a2b5-5a0f151caeab,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07756-fee3-7710-a2b5-5a0f151caeab"", ""version"": 1, ""metadata"": {""foo"": ""bar""}, ""effective"": ""2026-09-06"", ""entry_ids"": [""01a07756-feef-7e63-8f22-68177276211a"", ""01a07756-fef0-7de0-aca5-8bc97659a484"", ""01a07756-fef0-7de0-aca5-8bdb786ee9e6"", ""01a07756-fef0-7de0-aca5-8bed3122e6a7"", ""01a07756-fef1-7fe1-8694-eb09c61cecf1"", ""01a07756-fef1-7fe1-8694-eb18acdeacc1""], ""created_at"": ""2026-09-06T15:29:45.191124Z"", ""journal_id"": ""01a07756-fde8-77c2-85e0-e4094b6c94c7"", ""description"": null, ""external_id"": null, ""modified_at"": ""2026-09-06T15:29:45.191124Z"", ""correlation_id"": ""01a07756-fee3-7710-a2b5-5a0f151caeab"", ""tx_template_id"": ""01a07756-fec3-70c1-8e56-e395a0041c22""}}",,2026-09-06 15:29:45.191124+00
01a07757-0cfb-7e12-ac82-34b46b927c1f,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07757-0cfb-7e12-ac82-34b46b927c1f"", ""version"": 1, ""metadata"": {""foo"": ""bar""}, ""effective"": ""2026-09-06"", ""entry_ids"": [""01a07757-0d05-7800-8867-ac930d86bcd1"", ""01a07757-0d09-7d51-bac0-769540dbdf05"", ""01a07757-0d09-7d51-bac0-76a747a9625e"", ""01a07757-0d0d-7ed3-9709-f9dee857237d"", ""01a07757-0d0d-7ed3-9709-f9eb2ece737b"", ""01a07757-0d0e-7830-a3a6-2a7ecfae31de""], ""created_at"": ""2026-09-06T15:29:48.795824Z"", ""journal_id"": ""01a07757-074f-7882-bc35-1710e26d5cc9"", ""description"": null, ""external_id"": null, ""modified_at"": ""2026-09-06T15:29:48.795824Z"", ""correlation_id"": ""01a07757-0cfb-7e12-ac82-34b46b927c1f"", ""tx_template_id"": ""01a07757-07c8-7a02-8400-4645b89de9e7""}}",,2026-09-06 15:29:48.795824+00
01a07757-0e13-7770-ae51-5c5cfba49b4a,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07757-0e13-7770-ae51-5c5cfba49b4a"", ""version"": 1, ""metadata"": {""foo"": ""bar""}, ""effective"": ""2026-09-06"", ""entry_ids"": [""01a07757-0e3f-7103-a612-358d4109000f"", ""01a07757-0e40-7940-be26-e6e1087e25b8"", ""01a07757-0e43-7351-a7a0-0f09e5669a44"", ""01a07757-0e43-7351-a7a0-0f17c7fa31d1"", ""01a07757-0e43-7351-a7a0-0f2ae2772c37"", ""01a07757-0e44-7071-a70c-6dbb6c26fe16""], ""created_at"": ""2026-09-06T15:29:49.081534Z"", ""journal_id"": ""01a07757-0a09-79f2-9f43-57f9f2a2b525"", ""description"": null, ""external_id"": null, ""modified_at"": ""2026-09-06T15:29:49.081534Z"", ""correlation_id"": ""01a07757-0e13-7770-ae51-5c5cfba49b4a"", ""tx_template_id"": ""01a07757-0ca5-7c13-bf3b-ebb367352212""}}",,2026-09-06 15:29:49.081534+00
01a07757-0f7f-7682-80a8-3e8f60688389,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07757-0f7f-7682-80a8-3e8f60688389"", ""version"": 1, ""metadata"": {""foo"": ""bar""}, ""effective"": ""2026-09-06"", ""entry_ids"": [""01a07757-0f8c-7353-bd2a-70065730d354"", ""01a07757-0f8c-7353-bd2a-701d06d34d61"", ""01a07757-0f8d-74b1-bbbb-247c3d45fce1"", ""01a07757-0f8d-74b1-bbbb-2481ded72d77"", ""01a07757-0f8d-74b1-bbbb-2494924b8215"", ""01a07757-0f91-7a53-9f13-1aa8ea385cd2""], ""created_at"": ""2026-09-06T15:29:49.440454Z"", ""journal_id"": ""01a07757-09ef-7c23-96ec-b5ba0ca88215"", ""description"": null, ""external_id"": null, ""modified_at"": ""2026-09-06T15:29:49.440454Z"", ""correlation_id"": ""01a07757-0f7f-7682-80a8-3e8f60688389"", ""tx_template_id"": ""01a07757-0b74-79f3-911f-e8dacfa563f6""}}",,2026-09-06 15:29:49.440454+00
01a07757-18f6-7e71-8aab-68f8b0fabff6,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07757-18f6-7e71-8aab-68f8b0fabff6"", ""version"": 1, ""metadata"": {""foo"": ""bar""}, ""effective"": ""2026-09-06"", ""entry_ids"": [""01a07757-18fc-7f52-99ba-e8231e9c68b0"", ""01a07757-18fd-7be0-9dec-3c60a68f7e8f"", ""01a07757-18fd-7be0-9dec-3c78e3e054bf"", ""01a07757-18fd-7be0-9dec-3c8665dfdf43"", ""01a07757-18fd-7be0-9dec-3c9eddc6275a"", ""01a07757-18fd-7be0-9dec-3ca5529d27ad""], ""created_at"": ""2026-09-06T15:29:51.863331Z"", ""journal_id"": ""01a07757-188b-7803-b9a9-ee97969e21e1"", ""description"": null, ""external_id"": null, ""modified_at"": ""2026-09-06T15:29:51.863331Z"", ""correlation_id"": ""01a07757-18f6-7e71-8aab-68f8b0fabff6"", ""tx_template_id"": ""01a07757-18bc-7c53-9973-d88b99a824d4""}}",,2026-09-06 15:29:51.863331+00
01a07757-350d-7be1-8d29-a9ff64feea2a,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07757-350d-7be1-8d29-a9ff64feea2a"", ""version"": 1, ""metadata"": {""foo"": ""bar""}, ""effective"": ""2026-09-06"", ""entry_ids"": [""01a07757-3515-71f1-8ce5-cbee1a2ad5b3"", ""01a07757-3516-7c01-a862-b58d7d76d40b"", ""01a07757-3516-7c01-a862-b5972451f009"", ""01a07757-3516-7c01-a862-b5a37d719cc7"", ""01a07757-3517-7342-8e9e-c13ef40694fd"", ""01a07757-3517-7342-8e9e-c14705d14888""], ""created_at"": ""2026-09-06T15:29:59.053967Z"", ""journal_id"": ""01a07757-3415-71b1-8a31-162540732dc7"", ""description"": null, ""external_id"": null, ""modified_at"": ""2026-09-06T15:29:59.053967Z"", ""correlation_id"": ""01a07757-350d-7be1-8d29-a9ff64feea2a"", ""tx_template_id"": ""01a07757-345c-7e61-be72-a075e7913771""}}",,2026-09-06 15:29:59.053967+00
01a07757-35db-7f92-81aa-dfdf30585845,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07757-35db-7f92-81aa-dfdf30585845"", ""version"": 1, ""metadata"": {""foo"": ""bar""}, ""effective"": ""2026-09-06"", ""entry_ids"": [""01a07757-35e5-7d93-bff6-c4ea8a84e274"", ""01a07757-35e5-7d93-bff6-c4f1cae181f1"", ""01a07757-35e6-7600-9be9-51fe53cb0473"", ""01a07757-35e6-7600-9be9-520bc682d2b3"", ""01a07757-35e6-7600-9be9-5219c8e4ece8"", ""01a07757-35e6-7600-9be9-52212f5e90e1""], ""created_at"": ""2026-09-06T15:29:59.260646Z"", ""journal_id"": ""01a07757-3417-7df3-8b4f-15889efd2142"", ""description"": null, ""external_id"": null, ""modified_at"": ""2026-09-06T15:29:59.260646Z"", ""correlation_id"": ""01a07757-35db-7f92-81aa-dfdf30585845"", ""tx_template_id"": ""01a07757-34c6-7571-b2da-d665dbe8b7e4""}}",,2026-09-06 15:29:59.260646+00
01a07757-3763-77d0-b523-7ba87840a38f,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07757-3763-77d0-b523-7ba87840a38f"", ""version"": 1, ""metadata"": {""foo"": ""bar""}, ""effective"": ""2026-09-06"", ""entry_ids"": [""01a07757-376a-7ad2-ac31-658585399bad"", ""01a07757-376a-7ad2-ac31-659a9ba5a191"", ""01a07757-376b-7c72-9006-5556c1e98791"", ""01a07757-376b-7c72-9006-5564572055db"", ""01a07757-376b-7c72-9006-557b3d5a3949"", ""01a07757-376b-7c72-9006-55864017d138""], ""created_at"": ""2026-09-06T15:29:59.652113Z"", ""journal_id"": ""01a07757-36d2-74a1-b38b-f19ee7674061"", ""description"": null, ""external_id"": null, ""modified_at"": ""2026-09-06T15:29:59.652113Z"", ""correlation_id"": ""01a07757-3763-77d0-b523-7ba87840a38f"", ""tx_template_id"": ""01a07757-3757-7c31-b2f1-ee48e9c1d3ee""}}",,2026-09-06 15:29:59.652113+00
01a07757-378f-7603-ad5b-3676bf947f44,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07757-378f-7603-ad5b-3676bf947f44"", ""version"": 1, ""metadata"": {""foo"": ""bar""}, ""effective"": ""2026-09-06"", ""entry_ids"": [""01a07757-3791-7d20-b23d-43b89464ef58"", ""01a07757-3791-7d20-b23d-43c5a5593689"", ""01a07757-3792-7ab2-8de8-ecd516e2e8f6"", ""01a07757-3792-7ab2-8de8-ece378bb747c"", ""01a07757-3792-7ab2-8de8-ecf94e14869b"", ""01a07757-3793-72f3-861b-bfaf6aa4947e""], ""created_at"": ""2026-09-06T15:29:59.696662Z"", ""journal_id"": ""01a07757-36d2-74a1-b38b-f19ee7674061"", ""description"": null, ""external_id"": null, ""modified_at"": ""2026-09-06T15:29:59.696662Z"", ""correlation_id"": ""01a07757-378f-7603-ad5b-3676bf947f44"", ""tx_template_id"": ""01a07757-3757-7c31-b2f1-ee48e9c1d3ee""}}",,2026-09-06 15:29:59.696662+00
01a07757-3b63-7972-a026-7760f96394d3,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07757-3b63-7972-a026-7760f96394d3"", ""version"": 1, ""metadata"": null, ""effective"": ""2025-06-15"", ""entry_ids"": [""01a07757-3b68-74f3-9130-dc4584d330dd"", ""01a07757-3b69-7e83-8ba5-699ab14acc0a""], ""created_at"": ""2025-06-15T10:30:00Z"", ""journal_id"": ""01a07757-3b27-7851-90f4-9925c833b007"", ""description"": null, ""external_id"": null, ""modified_at"": ""2025-06-15T10:30:00Z"", ""correlation_id"": ""01a07757-3b63-7972-a026-7760f96394d3"", ""tx_template_id"": ""01a07757-3b58-7d02-94ec-0fd83b56f781""}}",,2025-06-15 10:30:00+00
