id,sequence,event_type,event,context,recorded_at
01a07756-fec3-70c1-8e56-e395a0041c22,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07756-fec3-70c1-8e56-e395a0041c22"", ""code"": ""VWwo7jCDoJGgk8lEVaSgw5qwKpNEAgBO"", ""params"": [{""name"": ""recipient"", ""type"": ""Uuid"", ""default"": null, ""description"": null}, {""name"": ""sender"", ""type"": ""Uuid"", ""default"": null, ""description"": null}, {""name"": ""journal_id"", ""type"": ""Uuid"", ""default"": null, ""description"": null}, {""name"": ""effective"", ""type"": ""Date"", ""default"": ""date()"", ""description"": null}], ""entries"": [{""layer"": ""SETTLED"", ""units"": ""decimal('1290')"", ""currency"": ""'BTC'"", ""metadata"": ""{\""sender\"": params.sender}"", ""direction"": ""DEBIT"", ""account_id"": ""params.sender"", ""entry_type"": ""'TEST_BTC_DR'"", ""description"": null}, {""layer"": ""SETTLED"", ""units"": ""decimal('1290')"", ""currency"": ""'BTC'"", ""metadata"": null, ""direction"": ""CREDIT"", ""account_id"": ""params.recipient"", ""entry_type"": ""'TEST_BTC_CR'"", ""description"": null}, {""layer"": ""SETTLED"", ""units"": ""decimal('100')"", ""currency"": ""'USD'"", ""metadata"": null, ""direction"": ""DEBIT"", ""account_id"": ""params.sender"", ""entry_type"": ""'TEST_USD_DR'"", ""description"": null}, {""layer"": ""SETTLED"", ""units"": ""decimal('100')"", ""currency"": ""'USD'"", ""metadata"": null, ""direction"": ""CREDIT"", ""account_id"": ""params.recipient"", ""entry_type"": ""'TEST_USD_CR'"", ""description"": null}, {""layer"": ""PENDING"", ""units"": ""decimal('100')"", ""currency"": ""'USD'"", ""metadata"": null, ""direction"": ""DEBIT"", ""account_id"": ""params.sender"", ""entry_type"": ""'TEST_USD_PENDING_DR'"", ""description"": null}, {""layer"": ""PENDING"", ""units"": ""decimal('100')"", ""currency"": ""'USD'"", ""metadata"": null, ""direction"": ""CREDIT"", ""account_id"": ""params.recipient"", ""entry_type"": ""'TEST_USD_PENDING_CR'"", ""description"": null}], ""version"": 1, ""metadata"": null, ""description"": null, ""transaction"": {""metadata"": ""{\""foo\"": \""bar\""}"", ""effective"": ""params.effective"", ""journal_id"": ""params.journal_id"", ""description"": null, ""external_id"": null, ""correlation_id"": null}}}",,2026-09-06 15:29:45.1743+00
01a07757-07c8-7a02-8400-4645b89de9e7,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07757-07c8-7a02-8400-4645b89de9e7"", ""code"": ""hwmb5hfz95oNEEOpSckgCSzFAcKYH9K2"", ""params"": [{""name"": ""recipient"", ""type"": ""Uuid"", ""default"": null, ""description"": null}, {""name"": ""sender"", ""type"": ""Uuid"", ""default"": null, ""description"": null}, {""name"": ""journal_id"", ""type"": ""Uuid"", ""default"": null, ""description"": null}, {""name"": ""effective"", ""type"": ""Date"", ""default"": ""date()"", ""description"": null}], ""entries"": [{""layer"": ""SETTLED"", ""units"": ""decimal('1290')"", ""currency"": ""'BTC'"", ""metadata"": ""{\""sender\"": params.sender}"", ""direction"": ""DEBIT"", ""account_id"": ""params.sender"", ""entry_type"": ""'TEST_BTC_DR'"", ""description"": null}, {""layer"": ""SETTLED"", ""units"": ""decimal('1290')"", ""currency"": ""'BTC'"", ""metadata"": null, ""direction"": ""CREDIT"", ""account_id"": ""params.recipient"", ""entry_type"": ""'TEST_BTC_CR'"", ""description"": null}, {""layer"": ""SETTLED"", ""units"": ""decimal('100')"", ""currency"": ""'USD'"", ""metadata"": null, ""direction"": ""DEBIT"", ""account_id"": ""params.sender"", ""entry_type"": ""'TEST_USD_DR'"", ""description"": null}, {""layer"": ""SETTLED"", ""units"": ""decimal('100')"", ""currency"": ""'USD'"", ""metadata"": null, ""direction"": ""CREDIT"", ""account_id"": ""params.recipient"", ""entry_type"": ""'TEST_USD_CR'"", ""description"": null}, {""layer"": ""PENDING"", ""units"": ""decimal('100')"", ""currency"": ""'USD'"", ""metadata"": null, ""direction"": ""DEBIT"", ""account_id"": ""params.sender"", ""entry_type"": ""'TEST_USD_PENDING_DR'"", ""description"": null}, {""layer"": ""PENDING"", ""units"": ""decimal('100')"", ""currency"": ""'USD'"", ""metadata"": null, ""direction"": ""CREDIT"", ""account_id"": ""params.recipient"", ""entry_type"": ""'TEST_USD_PENDING_CR'"", ""description"": null}], ""version"": 1, ""metadata"": null, ""description"": null, ""transaction"": {""metadata"": ""{\""foo\"": \""bar\""}"", ""effective"": ""params.effective"", ""journal_id"": ""params.journal_id"", ""description"": null, ""external_id"": null, ""correlation_id"": null}}}",,2026-09-06 15:29:47.468299+00
01a07757-0b74-79f3-911f-e8dacfa563f6,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07757-0b74-79f3-911f-e8dacfa563f6"", ""code"": ""ddMbkXHkowW2p2gLPLRU0o8d9u0ym3JF"", ""params"": [{""name"": ""recipient"", ""type"": ""Uuid"", ""default"": null, ""description"": null}, {""name"": ""sender"", ""type"": ""Uuid"", ""default"": null, ""description"": null}, {""name"": ""journal_id"", ""type"": ""Uuid"", ""default"": null, ""description"": null}, {""name"": ""effective"", ""type"": ""Date"", ""default"": ""date()"", ""description"": null}], ""entries"": [{""layer"": ""SETTLED"", ""units"": ""decimal('1290')"", ""currency"": ""'BTC'"", ""metadata"": ""{\""sender\"": params.sender}"", ""direction"": ""DEBIT"", ""account_id"": ""params.sender"", ""entry_type"": ""'TEST_BTC_DR'"", ""description"": null}, {""layer"": ""SETTLED"", ""units"": ""decimal('1290')"", ""currency"": ""'BTC'"", ""metadata"": null, ""direction"": ""CREDIT"", ""account_id"": ""params.recipient"", ""entry_type"": ""'TEST_BTC_CR'"", ""description"": null}, {""layer"": ""SETTLED"", ""units"": ""decimal('100')"", ""currency"": ""'USD'"", ""metadata"": null, ""direction"": ""DEBIT"", ""account_id"": ""params.sender"", ""entry_type"": ""'TEST_USD_DR'"", ""description"": null}, {""layer"": ""SETTLED"", ""units"": ""decimal('100')"", ""currency"": ""'USD'"", ""metadata"": null, ""direction"": ""CREDIT"", ""account_id"": ""params.recipient"", ""entry_type"": ""'TEST_USD_CR'"", ""description"": null}, {""layer"": ""PENDING"", ""units"": ""decimal('100')"", ""currency"": ""'USD'"", ""metadata"": null, ""direction"": ""DEBIT"", ""account_id"": ""params.sender"", ""entry_type"": ""'TEST_USD_PENDING_DR'"", ""description"": null}, {""layer"": ""PENDING"", ""units"": ""decimal('100')"", ""currency"": ""'USD'"", ""metadata"": null, ""direction"": ""CREDIT"", ""account_id"": ""params.recipient"", ""entry_type"": ""'TEST_USD_PENDING_CR'"", ""description"": null}], ""version"": 1, ""metadata"": null, ""description"": null, ""transaction"": {""metadata"": ""{\""foo\"": \""bar\""}"", ""effective"": ""params.effective"", ""journal_id"": ""params.journal_id"", ""description"": null, ""external_id"": null, ""correlation_id"": null}}}",,2026-09-06 15:29:48.40637+00
01a07757-0ca5-7c13-bf3b-ebb367352212,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07757-0ca5-7c13-bf3b-ebb367352212"", ""code"": ""FgqNRDBXiXDIJ9wFqZAC0OKCed5ePaGA"", ""params"": [{""name"": ""recipient"", ""type"": ""Uuid"", ""default"": null, ""description"": null}, {""name"": ""sender"", ""type"": ""Uuid"", ""default"": null, ""description"": null}, {""name"": ""journal_id"", ""type"": ""Uuid"", ""default"": null, ""description"": null}, {""name"": ""effective"", ""type"": ""Date"", ""default"": ""date()"", ""description"": null}], ""entries"": [{""layer"": ""SETTLED"", ""units"": ""decimal('1290')"", ""currency"": ""'BTC'"", ""metadata"": ""{\""sender\"": params.sender}"", ""direction"": ""DEBIT"", ""account_id"": ""params.sender"", ""entry_type"": ""'TEST_BTC_DR'"", ""description"": null}, {""layer"": ""SETTLED"", ""units"": ""decimal('1290')"", ""currency"": ""'BTC'"", ""metadata"": null, ""direction"": ""CREDIT"", ""account_id"": ""params.recipient"", ""entry_type"": ""'TEST_BTC_CR'"", ""description"": null}, {""layer"": ""SETTLED"", ""units"": ""decimal('100')"", ""currency"": ""'USD'"", ""metadata"": null, ""direction"": ""DEBIT"", ""account_id"": ""params.sender"", ""entry_type"": ""'TEST_USD_DR'"", ""description"": null}, {""layer"": ""SETTLED"", ""units"": ""decimal('100')"", ""currency"": ""'USD'"", ""metadata"": null, ""direction"": ""CREDIT"", ""account_id"": ""params.recipient"", ""entry_type"": ""'TEST_USD_CR'"", ""description"": null}, {""layer"": ""PENDING"", ""units"": ""decimal('100')"", ""currency"": ""'USD'"", ""metadata"": null, ""direction"": ""DEBIT"", ""account_id"": ""params.sender"", ""entry_type"": ""'TEST_USD_PENDING_DR'"", ""description"": null}, {""layer"": ""PENDING"", ""units"": ""decimal('100')"", ""currency"": ""'USD'"", ""metadata"": null, ""direction"": ""CREDIT"", ""account_id"": ""params.recipient"", ""entry_type"": ""'TEST_USD_PENDING_CR'"", ""description"": null}], ""version"": 1, ""metadata"": null, ""description"": null, ""transaction"": {""metadata"": ""{\""foo\"": \""bar\""}"", ""effective"": ""params.effective"", ""journal_id"": ""params.journal_id"", ""description"": null, ""external_id"": null, ""correlation_id"": null}}}",,2026-09-06 15:29:48.709857+00
01a07757-18bc-7c53-9973-d88b99a824d4,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07757-18bc-7c53-9973-d88b99a824d4"", ""code"": ""3Z2zDBqG4ToAqkN0rUIoKZdwPBnW01Qm"", ""params"": [{""name"": ""recipient"", ""type"": ""Uuid"", ""default"": null, ""description"": null}, {""name"": ""sender"", ""type"": ""Uuid"", ""default"": null, ""description"": null}, {""name"": ""journal_id"", ""type"": ""Uuid"", ""default"": null, ""description"": null}, {""name"": ""effective"", ""type"": ""Date"", ""default"": ""date()"", ""description"": null}], ""entries"": [{""layer"": ""SETTLED"", ""units"": ""decimal('1290')"", ""currency"": ""'BTC'"", ""metadata"": ""{\""sender\"": params.sender}"", ""direction"": ""DEBIT"", ""account_id"": ""params.sender"", ""entry_type"": ""'TEST_BTC_DR'"", ""description"": null}, {""layer"": ""SETTLED"", ""units"": ""decimal('1290')"", ""currency"": ""'BTC'"", ""metadata"": null, ""direction"": ""CREDIT"", ""account_id"": ""params.recipient"", ""entry_type"": ""'TEST_BTC_CR'"", ""description"": null}, {""layer"": ""SETTLED"", ""units"": ""decimal('100')"", ""currency"": ""'USD'"", ""metadata"": null, ""direction"": ""DEBIT"", ""account_id"": ""params.sender"", ""entry_type"": ""'TEST_USD_DR'"", ""description"": null}, {""layer"": ""SETTLED"", ""units"": ""decimal('100')"", ""currency"": ""'USD'"", ""metadata"": null, ""direction"": ""CREDIT"", ""account_id"": ""params.recipient"", ""entry_type"": ""'TEST_USD_CR'"", ""description"": null}, {""layer"": ""PENDING"", ""units"": ""decimal('100')"", ""currency"": ""'USD'"", ""metadata"": null, ""direction"": ""DEBIT"", ""account_id"": ""params.sender"", ""entry_type"": ""'TEST_USD_PENDING_DR'"", ""description"": null}, {""layer"": ""PENDING"", ""units"": ""decimal('100')"", ""currency"": ""'USD'"", ""metadata"": null, ""direction"": ""CREDIT"", ""account_id"": ""params.recipient"", ""entry_type"": ""'TEST_USD_PENDING_CR'"", ""description"": null}], ""version"": 1, ""metadata"": null, ""description"": null, ""transaction"": {""metadata"": ""{\""foo\"": \""bar\""}"", ""effective"": ""params.effective"", ""journal_id"": ""params.journal_id"", ""description"": null, ""external_id"": null, ""correlation_id"": null}}}",,2026-09-06 15:29:51.80563+00
01a07757-345c-7e61-be72-a075e7913771,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07757-345c-7e61-be72-a075e7913771"", ""code"": ""BT6FPPjG0B06TmRiNEao5rKkwURV0LsP"", ""params"": [{""name"": ""recipient"", ""type"": ""Uuid"", ""default"": null, ""description"": null}, {""name"": ""sender"", ""type"": ""Uuid"", ""default"": null, ""description"": null}, {""name"": ""journal_id"", ""type"": ""Uuid"", ""default"": null, ""description"": null}, {""name"": ""effective"", ""type"": ""Date"", ""default"": ""date()"", ""description"": null}], ""entries"": [{""layer"": ""SETTLED"", ""units"": ""decimal('1290')"", ""currency"": ""'BTC'"", ""metadata"": ""{\""sender\"": params.sender}"", ""direction"": ""DEBIT"", ""account_id"": ""params.sender"", ""entry_type"": ""'TEST_BTC_DR'"", ""description"": null}, {""layer"": ""SETTLED"", ""units"": ""decimal('1290')"", ""currency"": ""'BTC'"", ""metadata"": null, ""direction"": ""CREDIT"", ""account_id"": ""params.recipient"", ""entry_type"": ""'TEST_BTC_CR'"", ""description"": null}, {""layer"": ""SETTLED"", ""units"": ""decimal('100')"", ""currency"": ""'USD'"", ""metadata"": null, ""direction"": ""DEBIT"", ""account_id"": ""params.sender"", ""entry_type"": ""'TEST_USD_DR'"", ""description"": null}, {""layer"": ""SETTLED"", ""units"": ""decimal('100')"", ""currency"": ""'USD'"", ""metadata"": null, ""direction"": ""CREDIT"", ""account_id"": ""params.recipient"", ""entry_type"": ""'TEST_USD_CR'"", ""description"": null}, {""layer"": ""PENDING"", ""units"": ""decimal('100')"", ""currency"": ""'USD'"", ""metadata"": null, ""direction"": ""DEBIT"", ""account_id"": ""params.sender"", ""entry_type"": ""'TEST_USD_PENDING_DR'"", ""description"": null}, {""layer"": ""PENDING"", ""units"": ""decimal('100')"", ""currency"": ""'USD'"", ""metadata"": null, ""direction"": ""CREDIT"", ""account_id"": ""params.recipient"", ""entry_type"": ""'TEST_USD_PENDING_CR'"", ""description"": null}], ""version"": 1, ""metadata"": null, ""description"": null, ""transaction"": {""metadata"": ""{\""foo\"": \""bar\""}"", ""effective"": ""params.effective"", ""journal_id"": ""params.journal_id"", ""description"": null, ""external_id"": null, ""correlation_id"": null}}}",,2026-09-06 15:29:58.884412+00
01a07757-34c6-7571-b2da-d665dbe8b7e4,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07757-34c6-7571-b2da-d665dbe8b7e4"", ""code"": ""Z4uoWU5XMlLdVzBaKx9EEmQuIJkQhpx9"", ""params"": [{""name"": ""recipient"", ""type"": ""Uuid"", ""default"": null, ""description"": null}, {""name"": ""sender"", ""type"": ""Uuid"", ""default"": null, ""description"": null}, {""name"": ""journal_id"", ""type"": ""Uuid"", ""default"": null, ""description"": null}, {""name"": ""effective"", ""type"": ""Date"", ""default"": ""date()"", ""description"": null}], ""entries"": [{""layer"": ""SETTLED"", ""units"": ""decimal('1290')"", ""currency"": ""'BTC'"", ""metadata"": ""{\""sender\"": params.sender}"", ""direction"": ""DEBIT"", ""account_id"": ""params.sender"", ""entry_type"": ""'TEST_BTC_DR'"", ""description"": null}, {""layer"": ""SETTLED"", ""units"": ""decimal('1290')"", ""currency"": ""'BTC'"", ""metadata"": null, ""direction"": ""CREDIT"", ""account_id"": ""params.recipient"", ""entry_type"": ""'TEST_BTC_CR'"", ""description"": null}, {""layer"": ""SETTLED"", ""units"": ""decimal('100')"", ""currency"": ""'USD'"", ""metadata"": null, ""direction"": ""DEBIT"", ""account_id"": ""params.sender"", ""entry_type"": ""'TEST_USD_DR'"", ""description"": null}, {""layer"": ""SETTLED"", ""units"": ""decimal('100')"", ""currency"": ""'USD'"", ""metadata"": null, ""direction"": ""CREDIT"", ""account_id"": ""params.recipient"", ""entry_type"": ""'TEST_USD_CR'"", ""description"": null}, {""layer"": ""PENDING"", ""units"": ""decimal('100')"", ""currency"": ""'USD'"", ""metadata"": null, ""direction"": ""DEBIT"", ""account_id"": ""params.sender"", ""entry_type"": ""'TEST_USD_PENDING_DR'"", ""description"": null}, {""layer"": ""PENDING"", ""units"": ""decimal('100')"", ""currency"": ""'USD'"", ""metadata"": null, ""direction"": ""CREDIT"", ""account_id"": ""params.recipient"", ""entry_type"": ""'TEST_USD_PENDING_CR'"", ""description"": null}], ""version"": 1, ""metadata"": null, ""description"": null, ""transaction"": {""metadata"": ""{\""foo\"": \""bar\""}"", ""effective"": ""params.effective"", ""journal_id"": ""params.journal_id"", ""description"": null, ""external_id"": null, ""correlation_id"": null}}}",,2026-09-06 15:29:59.118557+00
01a07757-3757-7c31-b2f1-ee48e9c1d3ee,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07757-3757-7c31-b2f1-ee48e9c1d3ee"", ""code"": ""AydIlqZNFidWjdbMjOQ6tGp3gJxxpMSN"", ""params"": [{""name"": ""recipient"", ""type"": ""Uuid"", ""default"": null, ""description"": null}, {""name"": ""sender"", ""type"": ""Uuid"", ""default"": null, ""description"": null}, {""name"": ""journal_id"", ""type"": ""Uuid"", ""default"": null, ""description"": null}, {""name"": ""effective"", ""type"": ""Date"", ""default"": ""date()"", ""description"": null}], ""entries"": [{""layer"": ""SETTLED"", ""units"": ""decimal('1290')"", ""currency"": ""'BTC'"", ""metadata"": ""{\""sender\"": params.sender}"", ""direction"": ""DEBIT"", ""account_id"": ""params.sender"", ""entry_type"": ""'TEST_BTC_DR'"", ""description"": null}, {""layer"": ""SETTLED"", ""units"": ""decimal('1290')"", ""currency"": ""'BTC'"", ""metadata"": null, ""direction"": ""CREDIT"", ""account_id"": ""params.recipient"", ""entry_type"": ""'TEST_BTC_CR'"", ""description"": null}, {""layer"": ""SETTLED"", ""units"": ""decimal('100')"", ""currency"": ""'USD'"", ""metadata"": null, ""direction"": ""DEBIT"", ""account_id"": ""params.sender"", ""entry_type"": ""'TEST_USD_DR'"", ""description"": null}, {""layer"": ""SETTLED"", ""units"": ""decimal('100')"", ""currency"": ""'USD'"", ""metadata"": null, ""direction"": ""CREDIT"", ""account_id"": ""params.recipient"", ""entry_type"": ""'TEST_USD_CR'"", ""description"": null}, {""layer"": ""PENDING"", ""units"": ""decimal('100')"", ""currency"": ""'USD'"", ""metadata"": null, ""direction"": ""DEBIT"", ""account_id"": ""params.sender"", ""entry_type"": ""'TEST_USD_PENDING_DR'"", ""description"": null}, {""layer"": ""PENDING"", ""units"": ""decimal('100')"", ""currency"": ""'USD'"", ""metadata"": null, ""direction"": ""CREDIT"", ""account_id"": ""params.recipient"", ""entry_type"": ""'TEST_USD_PENDING_CR'"", ""description"": null}], ""version"": 1, ""metadata"": null, ""description"": null, ""transaction"": {""metadata"": ""{\""foo\"": \""bar\""}"", ""effective"": ""params.effective"", ""journal_id"": ""params.journal_id"", ""description"": null, ""external_id"": null, ""correlation_id"": null}}}",,2026-09-06 15:29:59.640045+00
01a07757-3b1e-7b82-b8a8-370240989c94,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07757-3b1e-7b82-b8a8-370240989c94"", ""code"": ""wzZ84biS8CWj4N93hR5M1vPDR1U3hjn2"", ""params"": [{""name"": ""recipient"", ""type"": ""Uuid"", ""default"": null, ""description"": null}, {""name"": ""sender"", ""type"": ""Uuid"", ""default"": null, ""description"": null}, {""name"": ""journal_id"", ""type"": ""Uuid"", ""default"": null, ""description"": null}, {""name"": ""amount"", ""type"": ""Decimal"", ""default"": null, ""description"": null}], ""entries"": [{""layer"": ""SETTLED"", ""units"": ""params.amount"", ""currency"": ""'USD'"", ""metadata"": null, ""direction"": ""DEBIT"", ""account_id"": ""params.sender"", ""entry_type"": ""'CLOCK_TEST_DR'"", ""description"": null}, {""layer"": ""SETTLED"", ""units"": ""params.amount"", ""currency"": ""'USD'"", ""metadata"": null, ""direction"": ""CREDIT"", ""account_id"": ""params.recipient"", ""entry_type"": ""'CLOCK_TEST_CR'"", ""description"": null}], ""version"": 1, ""metadata"": null, ""description"": null, ""transaction"": {""metadata"": null, ""effective"": ""date()"", ""journal_id"": ""params.journal_id"", ""description"": null, ""external_id"": null, ""correlation_id"": null}}}",,2025-01-01 12:00:00+00
01a07757-3b58-7d02-94ec-0fd83b56f781,1,initialized,"{""type"": ""initialized"", ""values"": {""id"": ""01a07757-3b58-7d02-94ec-0fd83b56f781"", ""code"": ""9ftwqEGpzgSxaDHj9f9oi1EIVlrzD62G"", ""params"": [{""name"": ""recipient"", ""type"": ""Uuid"", ""default"": null, ""description"": null}, {""name"": ""sender"", ""type"": ""Uuid"", ""default"": null, ""description"": null}, {""name"": ""journal_id"", ""type"": ""Uuid"", ""default"": null, ""description"": null}, {""name"": ""amount"", ""type"": ""Decimal"", ""default"": null, ""description"": null}], ""entries"": [{""layer"": ""SETTLED"", ""units"": ""params.amount"", ""currency"": ""'USD'"", ""metadata"": null, ""direction"": ""DEBIT"", ""account_id"": ""params.sender"", ""entry_type"": ""'CLOCK_TEST_DR'"", ""description"": null}, {""layer"": ""SETTLED"", ""units"": ""params.amount"", ""currency"": ""'USD'"", ""metadata"": null, ""direction"": ""CREDIT"", ""account_id"": ""params.recipient"", ""entry_type"": ""'CLOCK_TEST_CR'"", ""description"": null}], ""version"": 1, ""metadata"": null, ""description"": null, ""transaction"": {""metadata"": null, ""effective"": ""date()"", ""journal_id"": ""params.journal_id"", ""description"": null, ""external_id"": null, ""correlation_id"": null}}}",,2025-06-15 10:30:00+00
